launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
16669,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_sing_cart_ea.json,TLE,0.00,2022-04-09 13:10:13,89.10416667,,,
16679,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_sing_cart_ga.json,TLE,0.00,2022-04-09 13:18:47,89.10416667,,,
16649,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_sing_rbs_ea.json,PASSED,0.00,2022-04-09 12:50:24,21.54166667,,,
16659,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_m1-32_sing_rbs_ga.json,PASSED,0.00,2022-04-09 12:59:41,12.72916667,,,
16789,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_rec_cart_ea.json,PASSED,0.00,2022-04-09 15:07:26,33.29166667,,,
16799,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_rec_cart_ga.json,PASSED,0.00,2022-04-09 15:18:29,68.54166667,,,
16769,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_rec_rbs_ea.json,PASSED,0.00,2022-04-09 14:48:35,33.29166667,,,
16779,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_rec_rbs_ga.json,PASSED,0.00,2022-04-09 14:57:07,18.60416667,,,
16749,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_sing_cart_ea.json,TLE,0.00,2022-04-09 14:28:20,89.10416667,,,
16759,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_sing_cart_ga.json,TLE,0.00,2022-04-09 14:37:11,89.10416667,,,
16729,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_sing_rbs_ea.json,PASSED,0.00,2022-04-09 14:09:36,16.64583333,,,
16739,m21-u1m,sat_ktf_TF-7.tf_3_0.06_113.cnf,32_wop_ms1-31_sing_rbs_ga.json,TLE,0.00,2022-04-09 14:18:47,89.10416667,,,
