Duration: 300
step,size,rho,fit
1048,12,0.993,13.5
1049,12,0.993,13.5
1050,12,0.993,13.5
1051,12,0.993,13.5
1052,12,0.993,13.5
1053,12,0.993,13.5
1054,12,0.993,13.5
1055,12,0.993,13.5
1056,12,0.993,13.5
1057,12,0.993,13.5
1058,12,0.993,13.5
1059,12,0.993,13.5
1060,12,0.993,13.5
1061,12,0.993,13.5
1062,12,0.993,13.5
1063,12,0.993,13.5
1064,12,0.993,13.5
1065,12,0.993,13.5
1066,12,0.993,13.5
1067,12,0.993,13.5
1068,12,0.993,13.5
1069,12,0.993,13.5
1070,12,0.993,13.5
1071,12,0.993,13.5
1072,12,0.993,13.5
1073,12,0.993,13.5
1074,12,0.993,13.5
1075,12,0.993,13.5
1076,12,0.993,13.5
1077,12,0.993,13.5
1078,12,0.993,13.5
1079,12,0.993,13.5
1080,12,0.993,13.5
1081,12,0.993,13.5
1082,12,0.993,13.5
1083,12,0.993,13.5
1084,12,0.993,13.5
1085,12,0.993,13.5
1086,12,0.993,13.5
1087,12,0.993,13.5
1088,12,0.993,13.5
1089,12,0.993,13.5
1090,12,0.993,13.5
1091,12,0.993,13.5
1092,12,0.993,13.5
1093,12,0.993,13.5
1094,12,0.993,13.5
1095,12,0.993,13.5
1096,12,0.993,13.5
1097,12,0.993,13.5
1098,12,0.993,13.5
1099,12,0.993,13.5
1100,12,0.993,13.5
1101,12,0.993,13.5
1102,12,0.993,13.5
1103,12,0.993,13.5
1104,12,0.993,13.5
1105,12,0.993,13.5
1106,12,0.993,13.5
1107,12,0.993,13.5
1108,12,0.993,13.5
1109,12,0.993,13.5
1110,12,0.993,13.5
1111,12,0.993,13.5
1112,12,0.993,13.5
1113,12,0.993,13.5
1114,12,0.993,13.5
1115,12,0.993,13.5
1116,12,0.993,13.5
1117,12,0.993,13.5
1118,12,0.993,13.5
1119,12,0.993,13.5
1120,12,0.993,13.5
1121,12,0.993,13.5
1122,12,0.993,13.5
1123,12,0.993,13.5
1124,12,0.993,13.5
1125,12,0.993,13.5
1126,12,0.993,13.5
1127,12,0.993,13.5
1128,12,0.993,13.5
1129,12,0.993,13.5
1130,12,0.993,13.5
1131,12,0.993,13.5
1132,12,0.993,13.5
1133,12,0.993,13.5
1134,12,0.993,13.5
1135,12,0.993,13.5
1136,12,0.993,13.5
1137,12,0.993,13.5
1138,12,0.993,13.5
1139,12,0.993,13.5
1140,12,0.993,13.5
1141,12,0.993,13.5
1142,12,0.993,13.5
1143,12,0.993,13.5
1144,12,0.993,13.5
1145,12,0.993,13.5
1146,12,0.993,13.5
1147,12,0.993,13.5
1148,12,0.993,13.5
1149,12,0.993,13.5
1150,12,0.993,13.5
1151,12,0.993,13.5
1152,12,0.993,13.5
1153,12,0.993,13.5
