Duration: 300
step,size,rho,fit
937,13,0.982,14.7
938,13,0.982,14.7
939,13,0.982,14.7
940,13,0.982,14.7
941,13,0.982,14.7
942,13,0.982,14.7
943,13,0.982,14.7
944,13,0.982,14.7
945,13,0.982,14.7
946,13,0.982,14.7
947,13,0.982,14.7
948,13,0.982,14.7
949,13,0.982,14.7
950,13,0.982,14.7
951,13,0.982,14.7
952,13,0.982,14.7
953,13,0.982,14.7
954,13,0.982,14.7
955,13,0.982,14.7
956,13,0.982,14.7
957,13,0.982,14.7
958,13,0.982,14.7
959,13,0.982,14.7
960,13,0.982,14.7
961,13,0.982,14.7
962,13,0.982,14.7
963,13,0.982,14.7
964,13,0.982,14.7
965,13,0.982,14.7
966,13,0.982,14.7
967,13,0.982,14.7
968,13,0.982,14.7
969,13,0.982,14.7
970,13,0.982,14.7
971,13,0.982,14.7
972,13,0.982,14.7
973,13,0.982,14.7
974,13,0.982,14.7
975,13,0.982,14.7
976,13,0.982,14.7
977,13,0.982,14.7
978,13,0.982,14.7
979,13,0.982,14.7
980,13,0.982,14.7
981,13,0.982,14.7
982,13,0.982,14.7
983,13,0.982,14.7
984,13,0.982,14.7
985,13,0.982,14.7
986,13,0.982,14.7
987,13,0.982,14.7
988,13,0.982,14.7
989,13,0.982,14.7
990,13,0.982,14.7
991,13,0.982,14.7
992,13,0.982,14.7
993,13,0.982,14.7
994,13,0.982,14.7
995,13,0.982,14.7
996,13,0.982,14.7
997,13,0.982,14.7
998,13,0.982,14.7
999,13,0.982,14.7
1000,13,0.982,14.7
1001,13,0.982,14.7
1002,13,0.982,14.7
1003,13,0.982,14.7
1004,13,0.982,14.7
1005,13,0.982,14.7
1006,13,0.982,14.7
1007,13,0.982,14.7
1008,13,0.982,14.7
1009,13,0.982,14.7
1010,13,0.982,14.7
1011,13,0.982,14.7
1012,13,0.982,14.7
1013,13,0.982,14.7
1014,13,0.982,14.7
1015,13,0.982,14.7
1016,13,0.982,14.7
1017,13,0.982,14.7
1018,13,0.982,14.7
1019,13,0.982,14.7
1020,13,0.982,14.7
1021,13,0.982,14.7
1022,13,0.982,14.7
1023,13,0.982,14.7
1024,13,0.982,14.7
1025,13,0.982,14.7
1026,13,0.982,14.7
1027,13,0.982,14.7
1028,13,0.982,14.7
1029,13,0.982,14.7
1030,13,0.982,14.7
1031,13,0.982,14.7
1032,13,0.982,14.7
1033,13,0.982,14.7
1034,13,0.982,14.7
1035,13,0.982,14.7
1036,13,0.982,14.7
1037,13,0.982,14.7
1038,13,0.982,14.7
1039,13,0.982,14.7
1040,13,0.982,14.7
1041,13,0.982,14.7
1042,13,0.982,14.7
1043,13,0.982,14.7
1044,13,0.982,14.7
1045,13,0.982,14.7
1046,13,0.982,14.7
1047,13,0.982,14.7
1048,13,0.982,14.7
1049,13,0.982,14.7
1050,13,0.982,14.7
1051,13,0.982,14.7
1052,13,0.982,14.7
1053,13,0.982,14.7
1054,13,0.982,14.7
1055,13,0.982,14.7
1056,13,0.982,14.7
1057,13,0.982,14.7
1058,13,0.982,14.7
1059,13,0.982,14.7
1060,13,0.982,14.7
1061,13,0.982,14.7
1062,13,0.982,14.7
1063,13,0.982,14.7
1064,13,0.982,14.7
1065,13,0.982,14.7
1066,13,0.982,14.7
1067,13,0.982,14.7
1068,13,0.982,14.7
1069,13,0.982,14.7
1070,13,0.982,14.7
1071,13,0.982,14.7
1072,13,0.982,14.7
1073,13,0.982,14.7
1074,13,0.982,14.7
1075,13,0.982,14.7
1076,13,0.982,14.7
1077,13,0.982,14.7
1078,13,0.982,14.7
1079,13,0.982,14.7
1080,13,0.982,14.7
1081,13,0.982,14.7
1082,13,0.982,14.7
1083,13,0.982,14.7
1084,13,0.982,14.7
1085,13,0.982,14.7
1086,13,0.982,14.7
1087,13,0.982,14.7
1088,13,0.982,14.7
1089,13,0.982,14.7
1090,13,0.982,14.7
1091,13,0.982,14.7
1092,13,0.982,14.7
1093,13,0.982,14.7
1094,13,0.982,14.7
1095,13,0.982,14.7
1096,13,0.982,14.7
1097,13,0.982,14.7
1098,13,0.982,14.7
1099,13,0.982,14.7
1100,13,0.982,14.7
1101,13,0.982,14.7
1102,13,0.982,14.7
1103,13,0.982,14.7
1104,13,0.982,14.7
1105,13,0.982,14.7
1106,13,0.982,14.7
1107,13,0.982,14.7
1108,13,0.982,14.7
1109,13,0.982,14.7
1110,13,0.982,14.7
1111,13,0.982,14.7
1112,13,0.982,14.7
1113,13,0.982,14.7
1114,13,0.982,14.7
1115,13,0.982,14.7
1116,13,0.982,14.7
1117,13,0.982,14.7
1118,13,0.982,14.7
1119,13,0.982,14.7
1120,13,0.982,14.7
1121,13,0.982,14.7
1122,13,0.982,14.7
1123,13,0.982,14.7
1124,13,0.982,14.7
1125,13,0.982,14.7
1126,13,0.982,14.7
1127,13,0.982,14.7
1128,13,0.982,14.7
1129,13,0.982,14.7
1130,13,0.982,14.7
1131,13,0.982,14.7
1132,13,0.982,14.7
1133,13,0.982,14.7
1134,13,0.982,14.7
1135,13,0.982,14.7
1136,13,0.982,14.7
1137,13,0.982,14.7
1138,13,0.982,14.7
1139,13,0.982,14.7
1140,13,0.982,14.7
1141,13,0.982,14.7
1142,13,0.982,14.7
1143,13,0.982,14.7
1144,13,0.982,14.7
1145,13,0.982,14.7
1146,13,0.982,14.7
1147,13,0.982,14.7
