Duration: 300
step,size,rho,fit
902,14,0.959,15.8
903,14,0.959,15.8
904,14,0.959,15.8
905,14,0.959,15.8
906,14,0.959,15.8
907,14,0.959,15.8
908,14,0.959,15.8
909,14,0.959,15.8
910,14,0.959,15.8
911,14,0.959,15.8
912,14,0.959,15.8
913,14,0.959,15.8
914,14,0.959,15.8
915,14,0.959,15.8
916,14,0.959,15.8
917,14,0.959,15.8
918,14,0.959,15.8
919,14,0.959,15.8
920,14,0.959,15.8
921,14,0.959,15.8
922,14,0.959,15.8
923,14,0.959,15.8
924,14,0.959,15.8
925,14,0.959,15.8
926,14,0.959,15.8
927,14,0.959,15.8
928,14,0.959,15.8
929,14,0.959,15.8
930,14,0.959,15.8
931,14,0.959,15.8
932,14,0.959,15.8
933,14,0.959,15.8
934,14,0.959,15.8
935,14,0.959,15.8
936,14,0.959,15.8
937,14,0.959,15.8
938,14,0.959,15.8
939,14,0.959,15.8
940,14,0.959,15.8
941,14,0.959,15.8
942,14,0.959,15.8
943,14,0.959,15.8
944,14,0.959,15.8
945,14,0.959,15.8
946,14,0.959,15.8
947,14,0.959,15.8
948,14,0.959,15.8
949,14,0.959,15.8
950,14,0.959,15.8
951,14,0.959,15.8
952,14,0.959,15.8
953,14,0.959,15.8
954,14,0.959,15.8
955,14,0.959,15.8
956,14,0.959,15.8
957,14,0.959,15.8
958,14,0.959,15.8
959,14,0.959,15.8
960,14,0.959,15.8
961,14,0.959,15.8
962,14,0.959,15.8
963,14,0.959,15.8
964,14,0.959,15.8
965,14,0.959,15.8
966,14,0.959,15.8
967,14,0.959,15.8
968,14,0.959,15.8
969,14,0.959,15.8
970,14,0.959,15.8
971,14,0.959,15.8
972,14,0.959,15.8
973,14,0.959,15.8
974,14,0.959,15.8
975,14,0.959,15.8
976,14,0.959,15.8
977,14,0.959,15.8
978,14,0.959,15.8
979,14,0.959,15.8
980,14,0.959,15.8
981,14,0.959,15.8
982,14,0.959,15.8
983,14,0.959,15.8
984,14,0.959,15.8
985,14,0.959,15.8
986,14,0.959,15.8
987,14,0.96,15.8
988,14,0.96,15.8
989,14,0.96,15.8
990,14,0.96,15.8
991,14,0.96,15.8
992,14,0.96,15.8
993,14,0.96,15.8
994,14,0.96,15.8
995,14,0.96,15.8
996,14,0.96,15.8
997,14,0.96,15.8
998,14,0.96,15.8
999,14,0.96,15.8
1000,14,0.96,15.8
1001,14,0.96,15.8
1002,14,0.96,15.8
1003,14,0.96,15.8
1004,14,0.96,15.8
1005,14,0.96,15.8
1006,14,0.96,15.8
1007,14,0.96,15.8
1008,14,0.96,15.8
1009,14,0.96,15.8
1010,14,0.96,15.8
1011,14,0.96,15.8
1012,14,0.96,15.8
1013,14,0.96,15.8
1014,14,0.96,15.8
1015,14,0.96,15.8
1016,14,0.96,15.8
1017,14,0.96,15.8
1018,14,0.96,15.8
1019,14,0.96,15.8
1020,14,0.96,15.8
1021,14,0.96,15.8
1022,14,0.96,15.8
1023,14,0.96,15.8
1024,14,0.96,15.8
1025,14,0.96,15.8
1026,14,0.96,15.8
1027,14,0.96,15.8
1028,14,0.96,15.8
1029,14,0.96,15.8
1030,14,0.96,15.8
1031,14,0.96,15.8
1032,14,0.96,15.8
1033,14,0.96,15.8
1034,14,0.96,15.8
1035,14,0.96,15.8
1036,14,0.96,15.8
1037,14,0.96,15.8
1038,14,0.96,15.8
1039,14,0.96,15.8
1040,14,0.96,15.8
1041,14,0.96,15.8
1042,14,0.96,15.8
1043,14,0.96,15.8
1044,14,0.96,15.8
1045,14,0.96,15.8
1046,14,0.96,15.8
1047,14,0.96,15.8
1048,14,0.96,15.8
1049,15,0.98,15.7
1050,15,0.98,15.7
1051,15,0.98,15.7
1052,15,0.98,15.7
1053,15,0.98,15.7
1054,15,0.98,15.7
1055,15,0.98,15.7
1056,15,0.98,15.7
1057,15,0.98,15.7
1058,15,0.98,15.7
1059,15,0.98,15.7
1060,15,0.98,15.7
1061,15,0.98,15.7
1062,15,0.98,15.7
1063,15,0.98,15.7
1064,15,0.98,15.7
1065,15,0.98,15.7
1066,15,0.98,15.7
1067,15,0.98,15.7
1068,15,0.98,15.7
1069,15,0.98,15.7
1070,15,0.98,15.7
1071,15,0.98,15.7
1072,15,0.98,15.7
1073,15,0.98,15.7
1074,15,0.98,15.7
1075,15,0.98,15.7
1076,15,0.98,15.7
1077,15,0.98,15.7
1078,15,0.98,15.7
1079,15,0.98,15.7
1080,15,0.98,15.7
1081,15,0.98,15.7
1082,15,0.98,15.7
1083,14,0.967,15.6
1084,14,0.967,15.6
1085,14,0.967,15.6
1086,14,0.967,15.6
1087,14,0.967,15.6
1088,14,0.967,15.6
1089,14,0.967,15.6
1090,14,0.967,15.6
1091,14,0.967,15.6
1092,14,0.967,15.6
1093,14,0.967,15.6
1094,14,0.967,15.6
1095,14,0.967,15.6
1096,14,0.967,15.6
1097,14,0.967,15.6
1098,14,0.967,15.6
1099,14,0.967,15.6
1100,14,0.967,15.6
1101,14,0.967,15.6
1102,14,0.967,15.6
1103,14,0.967,15.6
1104,14,0.967,15.6
1105,14,0.967,15.6
1106,14,0.967,15.6
1107,14,0.967,15.6
1108,14,0.967,15.6
1109,14,0.967,15.6
1110,14,0.967,15.6
1111,14,0.967,15.6
1112,14,0.967,15.6
1113,14,0.967,15.6
1114,14,0.967,15.6
1115,14,0.967,15.6
1116,14,0.967,15.6
1117,14,0.967,15.6
1118,14,0.967,15.6
1119,14,0.967,15.6
1120,14,0.967,15.6
1121,14,0.967,15.6
1122,14,0.967,15.6
1123,14,0.967,15.6
1124,14,0.967,15.6
1125,14,0.967,15.6
1126,14,0.967,15.6
1127,13,0.963,15.5
1128,13,0.963,15.5
1129,13,0.963,15.5
1130,13,0.963,15.5
1131,13,0.963,15.5
1132,13,0.963,15.5
1133,13,0.963,15.5
1134,14,0.972,15.5
1135,14,0.972,15.5
1136,14,0.972,15.5
1137,14,0.972,15.5
1138,14,0.972,15.5
1139,14,0.972,15.5
1140,14,0.972,15.5
1141,14,0.972,15.5
1142,14,0.972,15.5
1143,14,0.972,15.5
1144,14,0.972,15.5
1145,14,0.972,15.5
1146,14,0.972,15.5
